Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Duration ,Popularity,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4wjKBHUbARaVSnVUviim80,1HOeqtP7tHkKNJNLzQ2tnr,"MY KZ, UR BF",Man Alive,Everything Everything,2010-01-01,217653,3.63,39,"british indie rock,experimental pop,modern rock,new rave",0.516,0.704,5,-8.232,0,0.0568,0.00603,0,0.0996,0.45,103.344,4
6bu1USUraCJ7sl6A2XlftS,1HOeqtP7tHkKNJNLzQ2tnr,Qwerty Finger,Man Alive,Everything Everything,2010-01-01,231733,3.86,30,"british indie rock,experimental pop,modern rock,new rave",0.428,0.774,9,-5.759,1,0.0449,0.00334,0.00406,0.0962,0.0906,91.864,4
0R3OsaMMAK5IMFMhnk24OS,1HOeqtP7tHkKNJNLzQ2tnr,Schoolin’,Man Alive,Everything Everything,2010-01-01,278853,4.65,32,"british indie rock,experimental pop,modern rock,new rave",0.434,0.701,0,-8.339,1,0.0442,0.0904,0.0893,0.31,0.497,110.696,4
0KN856pGY6ajB1gVwXcvE7,1HOeqtP7tHkKNJNLzQ2tnr,Leave The Engine Room,Man Alive,Everything Everything,2010-01-01,187666,3.13,24,"british indie rock,experimental pop,modern rock,new rave",0.514,0.37,10,-10.992,0,0.0343,0.617,0.195,0.114,0.188,124.74,4
6VOGKtzCHvdGlhdLrls72l,1HOeqtP7tHkKNJNLzQ2tnr,Final Form,Man Alive,Everything Everything,2010-01-01,328560,5.48,30,"british indie rock,experimental pop,modern rock,new rave",0.387,0.658,4,-8.298,0,0.0434,0.203,0.148,0.106,0.339,120.007,4
6PSqpcP7qP3ugM9D44LzUA,1HOeqtP7tHkKNJNLzQ2tnr,Photoshop Handsome,Man Alive,Everything Everything,2010-01-01,198373,3.31,33,"british indie rock,experimental pop,modern rock,new rave",0.649,0.727,1,-5.626,1,0.0482,0.0141,0.0000242,0.0894,0.506,116.487,4
0gMNl9ifKUylujmBxXOfu6,1HOeqtP7tHkKNJNLzQ2tnr,Two For Nero,Man Alive,Everything Everything,2010-01-01,261293,4.35,24,"british indie rock,experimental pop,modern rock,new rave",0.486,0.386,7,-10.882,1,0.025,0.438,0,0.218,0.544,98.002,4
2IHnrnwOTvraXRSOVFVDS1,1HOeqtP7tHkKNJNLzQ2tnr,Suffragette Suffragette,Man Alive,Everything Everything,2010-01-01,243786,4.06,36,"british indie rock,experimental pop,modern rock,new rave",0.668,0.562,1,-9.034,0,0.0326,0.14,0.199,0.144,0.414,104.987,4
6qhsPObLJTQFEEBVVnGyRr,1HOeqtP7tHkKNJNLzQ2tnr,Come Alive Diana,Man Alive,Everything Everything,2010-01-01,254786,4.25,25,"british indie rock,experimental pop,modern rock,new rave",0.433,0.817,1,-5.356,0,0.0408,0.00224,0,0.196,0.383,146.49,4
3KOOJ2TzJGGNhKVWWHstf1,1HOeqtP7tHkKNJNLzQ2tnr,NASA Is On Your Side,Man Alive,Everything Everything,2010-01-01,305000,5.08,24,"british indie rock,experimental pop,modern rock,new rave",0.283,0.557,2,-7.872,1,0.0346,0.172,0.0000242,0.15,0.264,105.84,4
